record_id,mine_id,violation_count,overdue_actions,inspection_score,maintenance_delay_days,equipment_failure_count,contractor_violations,contractor_compliance_score,environmental_issues,risk_score,risk_level
HIST_0001,M002,10,1,46,23,4,3,59,2,100,CRITICAL
HIST_0002,M004,10,8,50,18,6,0,46,1,100,CRITICAL
HIST_0003,M007,3,8,83,0,8,3,90,8,100,CRITICAL
HIST_0004,M006,3,7,82,8,0,2,89,6,78.65,CRITICAL
HIST_0005,M002,4,2,58,30,5,1,50,6,100,CRITICAL
HIST_0006,M007,5,5,83,8,0,7,79,1,76.3,CRITICAL
HIST_0007,M001,1,8,63,26,5,3,90,1,100,CRITICAL
HIST_0008,M007,10,3,94,9,1,3,100,1,68.4,HIGH
HIST_0009,M004,4,7,85,26,5,2,68,5,100,CRITICAL
HIST_0010,M003,10,4,89,29,1,2,79,3,100,CRITICAL
HIST_0011,M001,7,6,62,29,8,3,88,5,100,CRITICAL
HIST_0012,M010,3,0,96,10,6,4,49,3,72.15,HIGH
HIST_0013,M003,11,5,58,20,7,6,86,7,100,CRITICAL
HIST_0014,M010,4,2,60,23,8,8,61,6,100,CRITICAL
HIST_0015,M002,6,5,59,4,8,7,50,0,100,CRITICAL
HIST_0016,M010,2,10,55,25,6,1,69,6,100,CRITICAL
HIST_0017,M005,7,8,61,17,0,1,88,8,100,CRITICAL
HIST_0018,M001,12,10,66,3,4,6,55,7,100,CRITICAL
HIST_0019,M009,11,4,77,24,2,8,51,4,100,CRITICAL
HIST_0020,M001,9,3,54,11,2,8,94,8,100,CRITICAL
HIST_0021,M004,9,5,76,0,1,5,98,4,83.4,CRITICAL
HIST_0022,M002,0,3,81,30,1,1,91,7,83.4,CRITICAL
HIST_0023,M005,12,8,94,4,2,7,80,2,100,CRITICAL
HIST_0024,M005,8,9,72,30,3,8,93,3,100,CRITICAL
HIST_0025,M004,6,10,86,11,7,8,73,1,100,CRITICAL
HIST_0026,M001,3,1,66,0,8,3,82,3,69.9,HIGH
HIST_0027,M002,1,10,48,7,1,0,100,5,87.6,CRITICAL
HIST_0028,M010,8,3,62,21,7,3,79,2,100,CRITICAL
HIST_0029,M002,9,7,60,25,7,6,57,1,100,CRITICAL
HIST_0030,M002,10,6,67,13,6,7,100,0,100,CRITICAL
HIST_0031,M009,0,6,91,10,1,3,57,3,69.4,HIGH
HIST_0032,M008,7,2,72,5,4,7,60,1,87.3,CRITICAL
HIST_0033,M003,12,8,51,1,8,0,50,3,100,CRITICAL
HIST_0034,M001,6,7,75,6,6,0,55,6,100,CRITICAL
HIST_0035,M008,6,4,95,25,7,4,72,8,100,CRITICAL
HIST_0036,M001,2,3,63,6,0,8,48,5,86.15,CRITICAL
HIST_0037,M002,0,9,75,16,8,2,48,8,100,CRITICAL
HIST_0038,M010,2,1,83,2,3,6,52,3,63.35,HIGH
HIST_0039,M004,9,0,84,2,6,8,65,4,93.75,CRITICAL
HIST_0040,M008,10,5,60,8,6,2,87,4,100,CRITICAL
HIST_0041,M009,5,1,45,14,1,1,79,3,74.8,HIGH
HIST_0042,M003,4,2,67,28,1,3,68,4,95.65,CRITICAL
HIST_0043,M005,7,8,90,9,8,0,87,8,100,CRITICAL
HIST_0044,M003,10,1,53,8,1,1,92,8,91.55,CRITICAL
HIST_0045,M009,4,4,83,6,5,3,88,4,78.65,CRITICAL
HIST_0046,M001,7,4,99,1,1,6,98,4,69.05,HIGH
HIST_0047,M009,0,5,94,4,4,2,92,7,66.9,HIGH
HIST_0048,M009,11,6,80,0,1,1,89,2,78.25,CRITICAL
HIST_0049,M005,0,5,82,17,2,6,53,0,79.45,CRITICAL
HIST_0050,M007,5,0,67,6,3,1,67,8,77.5,CRITICAL
HIST_0051,M003,9,2,60,27,2,2,71,0,99.65,CRITICAL
HIST_0052,M002,11,5,95,29,6,3,62,2,100,CRITICAL
HIST_0053,M006,6,0,99,15,3,3,97,7,74.6,HIGH
HIST_0054,M002,4,3,59,0,3,6,66,4,82.85,CRITICAL
HIST_0055,M006,12,4,67,20,8,6,88,8,100,CRITICAL
HIST_0056,M006,0,1,61,5,4,0,51,6,65.9,HIGH
HIST_0057,M005,11,5,72,19,8,1,69,3,100,CRITICAL
HIST_0058,M002,0,6,45,16,8,3,68,6,100,CRITICAL
HIST_0059,M007,10,5,84,10,1,4,77,4,98.35,CRITICAL
HIST_0060,M007,5,6,89,9,8,2,57,6,100,CRITICAL
HIST_0061,M005,10,2,84,18,4,6,80,0,97.2,CRITICAL
HIST_0062,M004,4,3,72,25,5,7,73,7,100,CRITICAL
HIST_0063,M010,8,7,95,28,2,1,63,8,100,CRITICAL
HIST_0064,M003,5,1,97,30,3,4,59,3,94.3,CRITICAL
HIST_0065,M007,0,0,60,15,1,7,71,3,68.75,HIGH
HIST_0066,M004,7,6,60,4,0,1,94,6,85.8,CRITICAL
HIST_0067,M008,2,8,74,1,8,3,99,1,83.05,CRITICAL
HIST_0068,M010,2,7,87,16,8,5,93,7,100,CRITICAL
HIST_0069,M008,11,8,72,26,8,7,55,7,100,CRITICAL
HIST_0070,M005,4,3,98,20,4,8,76,3,95.7,CRITICAL
HIST_0071,M009,7,1,90,9,3,4,66,5,81.8,CRITICAL
HIST_0072,M002,1,2,54,7,6,2,90,3,70.0,HIGH
HIST_0073,M007,6,6,66,17,7,6,48,3,100,CRITICAL
HIST_0074,M005,6,9,89,0,6,7,45,5,100,CRITICAL
HIST_0075,M010,12,6,99,28,6,8,92,8,100,CRITICAL
HIST_0076,M006,3,7,59,8,6,7,46,6,100,CRITICAL
HIST_0077,M001,10,10,96,12,2,7,53,8,100,CRITICAL
HIST_0078,M003,6,9,81,21,0,1,86,6,100,CRITICAL
HIST_0079,M006,7,2,48,8,6,5,58,7,100,CRITICAL
HIST_0080,M008,5,6,62,24,6,4,98,1,100,CRITICAL
HIST_0081,M001,0,8,48,30,5,3,86,1,100,CRITICAL
HIST_0082,M008,12,0,60,6,0,2,60,2,78.2,CRITICAL
HIST_0083,M006,10,1,81,30,3,7,89,4,100,CRITICAL
HIST_0084,M010,2,9,83,30,1,2,64,1,100,CRITICAL
HIST_0085,M002,0,4,81,21,6,6,90,3,92.35,CRITICAL
HIST_0086,M006,9,10,60,3,4,1,95,0,100,CRITICAL
HIST_0087,M001,8,6,87,11,1,8,86,5,100,CRITICAL
HIST_0088,M007,6,7,51,13,5,7,90,2,100,CRITICAL
HIST_0089,M010,2,8,86,8,8,7,74,6,100,CRITICAL
HIST_0090,M008,4,5,99,7,1,4,73,3,69.5,HIGH
HIST_0091,M003,9,9,87,12,5,0,76,5,100,CRITICAL
HIST_0092,M009,7,3,67,25,4,5,62,4,100,CRITICAL
HIST_0093,M004,0,8,57,2,3,6,76,8,100,CRITICAL
HIST_0094,M002,11,7,86,22,7,7,95,0,100,CRITICAL
HIST_0095,M008,4,3,70,22,3,4,87,5,98.15,CRITICAL
HIST_0096,M005,8,8,67,13,8,5,67,7,100,CRITICAL
HIST_0097,M003,4,4,59,3,3,5,52,8,100,CRITICAL
HIST_0098,M002,3,3,92,15,4,8,83,4,90.05,CRITICAL
HIST_0099,M003,3,4,59,11,2,4,45,8,100,CRITICAL
HIST_0100,M002,4,0,48,17,4,2,85,7,92.35,CRITICAL
HIST_0101,M001,0,9,63,15,7,7,66,2,100,CRITICAL
HIST_0102,M010,4,7,52,26,1,6,76,1,100,CRITICAL
HIST_0103,M002,10,10,48,4,2,4,50,3,100,CRITICAL
HIST_0104,M008,8,6,83,19,3,8,69,7,100,CRITICAL
HIST_0105,M004,4,9,72,9,0,1,93,3,81.85,CRITICAL
HIST_0106,M003,4,10,50,5,3,2,80,1,97.5,CRITICAL
HIST_0107,M005,0,6,73,22,7,4,47,3,100,CRITICAL
HIST_0108,M005,11,4,89,27,7,1,88,3,100,CRITICAL
HIST_0109,M004,12,10,82,21,3,6,52,8,100,CRITICAL
HIST_0110,M005,10,2,62,26,2,1,48,2,100,CRITICAL
HIST_0111,M007,9,9,63,14,1,7,89,4,100,CRITICAL
HIST_0112,M007,4,8,79,15,7,1,83,0,97.1,CRITICAL
HIST_0113,M005,11,5,83,8,0,1,59,0,81.3,CRITICAL
HIST_0114,M005,9,0,93,24,2,7,78,7,100,CRITICAL
HIST_0115,M007,2,9,72,20,7,1,75,5,100,CRITICAL
HIST_0116,M005,5,5,87,3,2,5,71,7,89.9,CRITICAL
HIST_0117,M006,10,6,97,24,8,0,74,1,100,CRITICAL
HIST_0118,M009,4,5,52,24,6,8,97,0,100,CRITICAL
HIST_0119,M008,7,6,48,6,8,5,84,7,100,CRITICAL
HIST_0120,M008,12,0,58,8,8,2,63,7,100,CRITICAL
HIST_0121,M001,1,0,85,19,3,2,64,8,78.05,CRITICAL
HIST_0122,M008,8,6,50,7,1,7,52,2,100,CRITICAL
HIST_0123,M008,11,4,77,22,4,6,98,7,100,CRITICAL
HIST_0124,M003,3,7,80,4,6,3,83,8,100,CRITICAL
HIST_0125,M005,1,4,94,25,6,5,95,8,100,CRITICAL
HIST_0126,M008,0,4,91,9,7,2,73,8,86.7,CRITICAL
HIST_0127,M004,5,5,80,24,8,6,74,5,100,CRITICAL
